y,XA6,E2,FIE4,TB4,CE8,D7
1,0,70,0.245006615,0.230183507,0.104591351,6907.111104
0,0.019624786,70,0.117114874,0.113682191,0.091190579,8132.692303
0,0.047729941,70,0.079627667,0.076933396,0.09617941,7931.481474
0,0.01591,70,0.213085185,0.205417593,0.098336829,7836.363644
0,0.016991812,70,0.201706427,0.194029474,0.100304034,7744.642866
0,0.044194444,70,0.178759771,0.171597156,0.102101723,7656.140341
0,0.026297521,70,0.195631634,0.187412752,0.10374751,7570.68965
1,0.04773,70,0.215858859,0.206383939,0.105256526,7488.135585
1,0.037835909,70,0.189543816,0.179578438,0.106186782,6951.913038
1,0.052595041,70,0.19932916,0.18909508,0.107000766,7033.416661
1,0.06364,70,0.218704995,0.207723493,0.107453668,7108.4
1,0.052595041,70,0.198357521,0.188604269,0.107630957,7177.615378
1,0.057723356,70,0.207353891,0.197357755,0.10759599,7241.703696
0,0.052595041,70,0.196822448,0.18782425,0.106641875,7408.333339
1,0.066291667,70,0.181453832,0.172526603,0.109085899,7256.451621
1,0.07531361,70,0.168834634,0.159710482,0.112069152,7046.153853
1,0.081173469,70,0.157925935,0.148690054,0.114398679,6854.411774
1,0.084853333,70,0.148070454,0.1390022,0.115658751,6735.714292
1,0.044194445,70,0.278834344,0.261028494,0.116722657,6623.611117
1,0.037656805,70,0.345273951,0.321956519,0.118007456,6466.666661
0,0,70,0.096450586,0,0.108211115,7877.272721
1,0,70,0.200192204,0,0.206216533,7242.4
1,0,70,0.18074182,0,0.203880189,7418.4
1,0,70,0.169080003,0,0.203686196,7355.372543
1,0,70,0.144391357,0,0.188536257,7433.166672
1,0,70,0.134508781,0,0.18145395,7467.076931
1,0,70,0.174098169,0,0.189862148,7372.000006
1,0,70,0.162538621,0,0.183815693,7354.153854
1,0,70,0.166623235,0,0.18806923,7518.666672
1,0,70,0.158276683,0,0.180624708,7624.923085
1,0,70,0.154485541,0,0.180400601,7626.153854
1,0,70,0.148746828,0,0.187942672,7519.333339
1,0,70,0.145488274,0,0.196517241,7393.090916
1,0,70,0.139809449,0,0.17002951,7284.150938
0,0,70,0.13622692,0,0.127729948,7166.666652
1,0,70,0.166303528,0,0.206383619,7241.6
0,0,70,0.132141955,0,0.15174115,7226.538446
1,0,70,0.218168758,0,0.184600199,7339.629622
1,0,70,0.181911524,0,0.206431519,7444.642871
1,0,70,0.168008003,0,0.221862969,7542.413784
1,0,70,0.242799241,0,0.233107485,7633.666682
0,0.0544,130,0.208350865,0.104488032,0.067285777,8284.888881
0,0.037777778,130,0.174522964,0.263212305,0.090056683,8437.420419
0,0.032189349,130,0.160705706,0.323741438,0.087965272,8408.234226
0,0.0544,130,0.104196111,0.21028944,0.085713008,8378.037408
0,0.0272,130,0.208209843,0.210331862,0.085376224,8243.391916
0,0.032189349,130,0.160077971,0.161747791,0.084970577,8277.819812
0,0.027755102,130,0.148563745,0.150150257,0.084304673,8313.439872
0,0.041859033,130,0.183126831,0.18538726,0.085898079,8287.111103
0,0.039069233,130,0.175559807,0.177275162,0.080955218,8398.545463
0,0.036549315,130,0.169315905,0.170809183,0.078606307,8440.333341
0,0.034265558,130,0.163056083,0.166499796,0.087760566,8482.666658
0,0.032189349,130,0.161468865,0.161880971,0.079645392,8238.545463
0,0.03029628,130,0.157934256,0.15723294,0.076349292,8147.000009
0,0.028565427,130,0.150358763,0.152985457,0.092766778,8400.363645
0,0.026978774,130,0.145898583,0.149250187,0.098607243,8443.666675
0,0.025520735,130,0.143009103,0.144108427,0.08744232,8401.111103
0,0.024177778,130,0.138091636,0.139964576,0.079873384,8305.272736
0,0.02125,130,0.129077042,0.131111296,0.07674464,8269.333342
0,0.041859033,130,0.182521844,0.18443645,0.084835991,8286.222214
0,0.039069233,130,0.176033532,0.178018364,0.081672083,8399.272736
0,0.036549315,130,0.170152976,0.172121564,0.079824522,8441.666675
0,0.034265558,130,0.164983587,0.166785534,0.083408564,8348.4
1,0,67,0.165828158,0,0.2285685,7112.454553
1,0,67,0.160681913,0,0.230783342,7160.703697
1,0,67,0.156577091,0,0.224323618,7021.035072
1,0,67,0.151677201,0,0.204630008,6938.03703
1,0,67,0.148019694,0,0.213141135,6915.561389
1,0,67,0.144511585,0,0.218377598,6895.333347
1,0,67,0,0,0.221452131,6877.031753
1,0,67,0,0,0.223048616,6860.393954
1,0,67,0,0,0.223621808,6840.428578
1,0,67,0.218153348,0,0.223250321,6826.890397
1,0,67,0.21813372,0,0.222403143,6814.421039
1,0,67,0.218205832,0,0.220755102,6799.25
1,0,67,0.214085192,0,0.213724309,6857.936515
1,0,67,0.214332617,0,0.20932955,6823.939408
1,0,67,0.21471794,0,0.203839374,6783.142864
1,0,67,0.214846386,0,0.19997579,6755.479438
1,0,67,0.214933587,0,0.19631167,6729.999986
1,0,67,0.214714731,0,0.191710613,6699
1,0,67,0.211442018,0,0.209438489,6711.615391
1,0,67,0.211885083,0,0.201514252,6554.142864
1,0,67,0.211808837,0,0.194426337,6417.666653
0,0,67,0,0,0.169315284,6693.488385
0,0,67,0,0,0.166620973,6852.888882
0,0,67,0.023512476,0,0.164000253,6998.723391
0,0,67,0.103051836,0,0.156626748,7370.188673
0,0,67,0.1029376,0,0.154334746,7476.000007
0,0,67,0.100815302,0,0.152123545,7574.385952
0,0,67,0.085571853,0,0.148952844,7709.666672
0,0,67,0.079776115,0,0.175467643,6602.64706
0,0,67,0.086246411,0,0.171260317,6806.944443
0,0,67,0.079465868,0,0.167312271,6989.736841
0,0,67,0.08594597,0,0.163603019,7154.25
0,0,67,0.07916159,0,0.158444419,7372.325596
0,0,67,0.079011636,0,0.153719169,7561.956517
0,0,67,0.085499213,0,0.150783467,7675.208327
0,0,67,0.093529422,0,0.158159462,7387.176479
0,0,67,0.058310297,0,0.15933483,7316.222215
0,0,67,0.020222293,0,0.159979822,7252.736849
1,0,67,0.10324088,0,0.160219953,7195.6
0,0,67,0.094024134,0,0.159835132,7096.909098
0,0,67,0.103581781,0,0.158686638,7014.666675
0,0,67,0.115362959,0,0.15518813,6885.428578
0,0,70,0.262493423,0.130007062,0.044584474,8071.219512
0,0.048120983,70,0.183910649,0.18147699,0.058658907,7881.647069
1,0.009464604,70,0.258511343,0.254777946,0.062359258,7821.395364
0,0.022020761,70,0.250218437,0.246162831,0.067295728,7733.600015
0,0.025813954,70,0.247577668,0.243422119,0.068803805,7704.999991
1,0.031170612,70,0.243751085,0.239437906,0.071093346,7659.909902
1,0.032871901,70,0.244923919,0.239225841,0.083149106,7385.5319
0,0.03551051,70,0.240788739,0.236205915,0.074274242,7593.77777
0,0.050416478,70,0.229726277,0.224150459,0.085036326,7336.210534
1,0.039283951,70,0.240383702,0.234311807,0.086814875,7287.916657
0,0.052886427,70,0.228354211,0.222255867,0.089298606,7217.333328
1,0.055243056,70,0.226177327,0.220030116,0.090081356,7194.285725
1,0.058577252,70,0.221201597,0.216544861,0.088110177,7429.639337
1,0.059637651,70,0.224708793,0.216199732,0.084993248,7110.33334
1,0.089790379,70,0.179781834,0.173933958,0.09802814,6934.999991
1,0.044194445,70,0.183067206,0.176959334,0.099134533,6894.666651
1,0.070606509,70,0.212822177,0.204876551,0.103942658,6704.000007
1,0.072154195,70,0.212533878,0.203675895,0.108435013,6496.896549
1,0.078892562,70,0.203900963,0.194858336,0.110833295,6370.333343
1,0.085130797,70,0.19372884,0.184939323,0.111681944,6322.039466
1,0.088388889,70,0.189045551,0.1795274,0.115291344,6088.000006
1,0.089521295,70,0.188403896,0.177939886,0.118169857,5846.000006
1,0.094142012,70,0.169419727,0.163089951,0.095893802,6765.957238
1,0.097408163,70,0.156762457,0.151334528,0.095192346,6876.918912
1,0.018850604,70,0.259700775,0.251442772,0.094215835,6991.722913
1,0.03551051,70,0.243060779,0.237797284,0.08855735,7405.000006
1,0.050719041,70,0.23030759,0.224549281,0.090807232,7268.363644
0,0.088388889,70,0.177773096,0.175554718,0.080249353,7780.75
1,0.078892562,70,0.194905776,0.191708129,0.08421369,7619.714293
1,0.0994375,70,0.134412072,0.131881504,0.086345715,7520.615392
1,0.097408163,70,0.158252907,0.152775028,0.097725547,6767.458425
1,0.094142012,70,0.169491516,0.163937377,0.096356665,6877.927921
1,0.089764783,70,0.260208722,0.052956752,0.094759801,6992.2227
1,0.080705706,70,0.243412822,0.104279045,0.090111543,7268.229727
1,0.071840002,70,0.228149345,0.157180994,0.087393529,7403.666673
1,0.052556811,70,0.195682433,0.288299451,0.10124241,7097.719708
1,0.044194445,70,0.180134726,0.352215525,0.098622964,7099.909903
1,0.089764783,70,0.257755383,0.251125732,0.095833063,7102.175953
1,0.080705706,70,0.246792171,0.238439284,0.088730739,7107.636371
1,0.071840002,70,0.235453327,0.225519284,0.100420572,6959.985741
1,0.052595041,70,0.200341151,0.192755075,0.098089576,7007.333326
1,0.0994375,70,0,0.264743788,0.095578653,7056.320448
1,0.089764783,70,0.053902991,0.250865031,0.089051343,7174.61795
1,0.080705706,70,0.106377247,0.237557877,0.085576016,7232.666673
0,0.071840002,70,0.157951275,0.221721157,0.056240785,7935.263166
1,0.052556811,70,0.292709951,0.19086892,0.077718688,7517.3125
1,0.044194445,70,0.356105839,0.174698461,0.078382598,7604.625
1,0.022036011,70,0.279917754,0.221164076,0.076382934,7459.3
1,0.058838757,70,0.210039169,0.202950826,0.076456351,7330.85
1,0.054561042,70,0.200735048,0.195444274,0.088712619,7234.3298
0,0.050733419,70,0.19168922,0.187627181,0.0790048,7487.391294
1,0.047294887,70,0.187835447,0.182383061,0.093008999,7104.4
0,0.044194445,70,0.18093723,0.175897423,0.091791552,7176.113678
0,0.024653926,70,0.245866539,0.239306556,0.090489783,7248.114069
0,0.026297521,70,0.196007067,0.191005604,0.08910977,7319.922555
0,0.044194445,70,0.179049675,0.174688046,0.087648104,7391.599468
0,0.037656805,70,0.161765035,0.161924339,0.085917172,8037.4
0,0.044194445,70,0.175309995,0.263941881,0.092135299,8028.679235
