atomic_radius,atomic_mass,Z,X,number,max_oxidation_state,min_oxidation_state,row,group,atomic_radius_calculated,van_der_waals_radius,mendeleev_no,molar_volume,boiling_point,melting_point,critical_temperature,density_of_solid,average_ionic_radius,average_cationic_radius,average_anionic_radius,lattice_lengthx,lattice_lengthy,lattice_lengthz,lattice_anglesA,lattice_anglesB,lattice_anglesC,com_average_electroneg,com_num_atoms,com_total_electrons,com_weight
0.203333333,14.09962107,6.733333333,0.78,6.733333333,1.133333333,-0.733333333,1.6,17.26666667,0.424,1.486,26.93333333,17.672,83.126,90.14533333,152.1146667,381.8,0.212,0.082,0.26,4.753272056,4.96701249,5.100694006,73.72785058,85.82058272,79.8740193,2.646,15,86,175.7268296
0.203333333,14.09962107,6.733333333,0.78,6.733333333,1.133333333,-0.733333333,1.6,17.26666667,0.424,1.486,26.93333333,17.672,83.126,90.14533333,152.1146667,381.8,0.212,0.082,0.26,4.65174557,5.1490821,5.154922004,70.22068299,80.51762339,80.79263862,2.646,15,86,175.7268296
0.203333333,14.09962107,6.733333333,0.78,6.733333333,1.133333333,-0.733333333,1.6,17.26666667,0.424,1.486,26.93333333,17.672,83.126,90.14533333,152.1146667,381.8,0.212,0.082,0.26,3.758941583,4.27142996,7.490014554,97.67649357,93.8057338,95.96331205,2.646,15,86,175.7268296
0.203333333,14.09962107,6.733333333,0.78,6.733333333,1.133333333,-0.733333333,1.6,17.26666667,0.424,1.486,26.93333333,17.672,83.126,90.14533333,152.1146667,381.8,0.212,0.082,0.26,3.640998269,4.6779563,7.203353126,98.84704287,92.29647613,104.3219851,2.646,15,86,175.7268296
0.203333333,14.09962107,6.733333333,0.78,6.733333333,1.133333333,-0.733333333,1.6,17.26666667,0.424,1.486,26.93333333,17.672,83.126,90.14533333,152.1146667,381.8,0.212,0.082,0.26,3.828875009,4.901628587,6.890956167,94.41477312,105.6511452,108.718191,2.646,15,86,175.7268296
0.203333333,14.09962107,6.733333333,0.78,6.733333333,1.133333333,-0.733333333,1.6,17.26666667,0.424,1.486,26.93333333,17.672,83.126,90.14533333,152.1146667,381.8,0.212,0.082,0.26,3.580401737,4.790123786,7.449560412,92.27472397,99.70600046,110.719873,2.646,15,86,175.7268296
0.203333333,14.09962107,6.733333333,0.78,6.733333333,1.133333333,-0.733333333,1.6,17.26666667,0.424,1.486,26.93333333,17.672,83.126,90.14533333,152.1146667,381.8,0.212,0.082,0.26,3.635265293,4.687463005,7.343979045,98.18593448,92.01500557,110.7099392,2.646,15,86,175.7268296
0.203333333,14.09962107,6.733333333,0.78,6.733333333,1.133333333,-0.733333333,1.6,17.26666667,0.424,1.486,26.93333333,17.672,83.126,90.14533333,152.1146667,381.8,0.212,0.082,0.26,3.82132121,4.084478258,7.456931032,89.27039169,89.02760475,88.72527461,2.646,15,86,175.7268296
0.203333333,14.09962107,6.733333333,0.78,6.733333333,1.133333333,-0.733333333,1.6,17.26666667,0.424,1.486,26.93333333,17.672,83.126,90.14533333,152.1146667,381.8,0.212,0.082,0.26,4.283904952,4.746429298,6.709600138,74.32825325,82.40389625,67.00543862,2.646,15,86,175.7268296
0.205555556,12.97256778,6.222222222,0.818888889,6.222222222,1.222222222,-0.777777778,1.555555556,17.22222222,0.418888889,1.48,28.11111111,17.81222222,74.03833333,78.72944444,134.35,318.1666667,0.211666667,0.084166667,0.29,4.582611445,4.985443824,6.664850282,73.62972737,89.84944851,88.41145335,2.591111111,18,94,189.7534096
0.205555556,12.97256778,6.222222222,0.818888889,6.222222222,1.222222222,-0.777777778,1.555555556,17.22222222,0.418888889,1.48,28.11111111,17.81222222,74.03833333,78.72944444,134.35,318.1666667,0.211666667,0.084166667,0.29,4.56803014,4.849712691,6.760977281,73.73600584,80.67333359,88.98423725,2.591111111,18,94,189.7534096
0.205555556,12.97256778,6.222222222,0.818888889,6.222222222,1.222222222,-0.777777778,1.555555556,17.22222222,0.418888889,1.48,28.11111111,17.81222222,74.03833333,78.72944444,134.35,318.1666667,0.211666667,0.084166667,0.29,4.862152893,5.135012103,6.132290712,73.13363943,75.93068353,85.92094423,2.591111111,18,94,189.7534096
0.205555556,12.97256778,6.222222222,0.818888889,6.222222222,1.222222222,-0.777777778,1.555555556,17.22222222,0.418888889,1.48,28.11111111,17.81222222,74.03833333,78.72944444,134.35,318.1666667,0.211666667,0.084166667,0.29,4.983749737,5.204088774,5.476715282,76.40686088,89.41932814,84.63189984,2.591111111,18,94,189.7534096
0.205555556,12.97256778,6.222222222,0.818888889,6.222222222,1.222222222,-0.777777778,1.555555556,17.22222222,0.418888889,1.48,28.11111111,17.81222222,74.03833333,78.72944444,134.35,318.1666667,0.211666667,0.084166667,0.29,4.621147472,5.534632952,5.72051159,78.90001716,75.01154531,87.05763219,2.591111111,18,94,189.7534096
