name,element number,lattice constants a,lattice constants b,lattice constants c,atomic radii (empirical),atomic radii (clementi),ionic radii (pauling),ionic radii (shannon),covalent radii,covalent radii (sigle bond),covalent radii (double bond),Van der Waals radius,metal radii (waber),valence electron distance (schubert),core electron distance (schubert),pseudo-potential radii (zunger),first ionization energy,second ionization energy,third ionization energy,electronic affinity,atomization enthalpy,vaporization enthalpy,fusion enthalpy,cohesive energy (Brewer),total energy,electron number,valence electron number,s,p,d,f,effective nuclear charge (slater),effective nuclear charge (clementi),periodic number,group number,electronegativity (martynov&batsanov),electronegativity (pauling),electronegativity (alfred-rochow),modulus compression,thermal conductivity,specific heat,temperature melting,temperature boiling,"atomic volume(villars,daams)","atomic weight(villars,daams)",atomic density,Orbital energy 1s,Orbital energy 2s,Orbital energy 2p,Orbital energy 3s,Orbital energy 3p,Orbital energy 3d,Orbital energy 4s,Orbital energy 4p,Orbital energy 4d,Orbital energy 4f,Orbital energy 5s,Orbital energy 5p,Orbital energy 5d,Orbital energy 5f,Orbital energy 6s,Orbital energy 6p,Orbital energy 6d,Orbital energy 6f,Orbital energy 7s,lowest energy of the atomic orbitals,2nd lowest energy of the atomic orbitals
abbrTex,n,$a$,$b$,$c$,$r_{ae}$,$r_{ac}$,$r_{ip}$,$r_{is}$,$r_{c}$,$r_{csb}$,$r_{cdb}$,$r_{vdw}$,$r_m$,$d_{ve}$,$d_{ce}$,$r_{pp}$,$IE_1$,$IE_2$,$IE_3$,$EA$,$H_a$,$H_v$,$H_f$,$E_{coh}$,$E_{tot}$,$e$,$VEC$,$s$,$p$,$d$,$f$,$N_{cs}$,$N_{cc}$,$N_p$,$N_g$,$\chi_m$,$\chi_p$,$\chi_a$,$E_p$,$T_c$,$H_s$,$T_m$,$T_b$,$V_a$,$m$,$\rho_a$,$OB_{1s}$,$OB_{2s}$,$OB_{2p}$,$OB_{3s}$,$OB_{3p}$,$OB_{3d}$,$OB_{4s}$,$OB_{4p}$,$OB_{4d}$,$OB_{4f}$,$OB_{5s}$,$OB_{5p}$,$OB_{5d}$,$OB_{5f}$,$OB_{6s}$,$OB_{6p}$,$OB_{6d}$,$OB_{6f}$,$OB_{7s}$,$E_{low}$,$E_{low2}$
abbr,n,a,b,c,rae,rac,rip,ris,rc,rcsb,rcdb,rvdw,rm,dve,dce,rpp,IE1,IE2,IE3,EA,Ha,Hv,Hf,Ecoh,Etot,e,VEC,s,p,d,f,Ncs,Ncc,Np,Ng,Xm,Xp,Xa,Ep,Tc,Hs,Tm,Tb,Va,m,rho_a,OB_1s,OB_2s,OB_2p,OB_3s,OB_3p,OB_3d,OB_4s,OB_4p,OB_4d,OB_4f,OB_5s,OB_5p,OB_5d,OB_5f,OB_6s,OB_6p,OB_6d,OB_6f,OB_7s,Elow,Elow2
Mo,42,3.147,3.147,3.147,1.45,1.9,0.75,0.69,1.54,1.38,1.21,2.45,1.4,1.46,0.9,2.72,7.123,16.203,27.258,0.7473,6.844,6.135,0.374,6.82,10.862,42,6,1,0,5,0,3.45,6.98,5,6,1.94,2.16,1.3,2.725,139,0.251,2890,4885,1.558,95.94,10280,709.2324648,98.50402728,90.79158458,1.705545819,13.71481666,8.258813964,2.23482508,1.390050667,0.153347434,0,0.147880143,0,0,0,0,0,0,0,0,0.148,0.153
Tc,43,2.735,2.735,4.388,1.35,1.83,0.72,0.645,1.47,1.28,1.2,2.44,1.36,1.35,0.86,2.65,7.305,15.309,29.64,0.55,7.051,6.086,0.239,6.85,10.359,43,7,2,0,5,0,3.6,7.23,5,7,2.18,1.9,1.36,2.97,51,0.063,2445,5150,1.43,97.907,11500,74.63005982,1.607515972,96.61025637,18.1353117,15.04183522,9.345804486,2.550785225,1.64620079,0.270262202,0,0.183636808,0,0,0,0,0,0,0,0,0.184,0.27
Ru,44,2.7059,2.7059,4.2815,1.3,1.78,0.69,0.68,1.46,1.25,1.14,2.46,1.339,1.29,0.83,2.605,7.395,16.817,28.569,1.04638,6.684,5.897,0.267,6.74,9.266,44,8,1,0,7,0,3.75,7.45,5,8,1.97,2.2,1.42,3.208,120,0.238,2583,4173,1.357,101.07,12370,78.29785858,16.9360622,102.3336981,19.3667013,16.14522475,1.022868492,2.628364262,0.169949082,0.023175011,0,0.152834073,0,0,0,0,0,0,0,0,0.023,0.153
Rh,45,3.8034,3.8034,3.8034,1.35,1.73,0.75,0.665,1.42,1.25,1.1,2.44,1.345,1.24,0.78,2.52,7.486,18.138,31.169,1.14289,5.792,5.141,0.226,5.75,7.357,45,9,1,0,8,0,3.9,7.64,5,9,1.99,2.28,1.45,2.704,150,0.24,2239,4000,1.367,102.905,12450,821.1371671,116.8070061,14.76410709,20.76561297,17.41530743,1.857250963,2.825506363,1.806456868,0.241420116,0,0.154624075,0,0,0,0,0,0,0,0,0.155,0.241
Pd,46,3.8907,3.8907,3.8907,1.4,1.69,0.85,0.86,1.39,1.2,1.17,2.15,1.376,3.2,1.24,2.45,8.369,19.5,33.041,0.56214,3.933,3.76,0.174,3.89,5.178,46,10,0,0,10,0,4.05,7.84,5,10,2.08,2.2,1.35,1.808,72,0.24,1825,3413,1.469,106.42,12023,86.06295031,123.1076398,0.122686131,22.0609266,18.58080692,12.13220318,2.889741387,1.815216231,0.160771077,0,0,0,0,0,0,0,0,0,0,0.123,0.161
Ag,47,4.0853,4.0853,4.0853,1.6,1.65,1.12,1.15,1.45,1.28,1.39,2.53,1.445,2.9,1.3,2.375,7.602,21.57,34.954,1.30447,2.96,2.68,0.118,2.95,2.832,47,11,1,0,10,0,4.2,8.03,5,11,1.07,1.93,1.42,1.007,430,0.235,1234,2485,1.706,107.868,10490,900.3251002,129.8598697,120.913409,23.67844837,20.06764035,13.36780942,0.415090199,0.027402733,0.298706215,0,0.157407076,0,0,0,0,0,0,0,0,0.027,0.157
Cd,48,2.9794,2.9794,5.6186,1.55,1.61,0.93,0.95,1.44,1.36,1.44,2.49,1.568,2.4,1.39,2.215,9.024,16.962,37.606,-0.725,1.165,1.04,0.066,1.16,0.915,48,12,2,0,10,0,4.35,8.19,5,12,1.4,1.69,1.46,0.467,97,0.23,594,1038,2.144,112.411,8650,99.07728756,136.8325737,127.6359013,2.54150922,0.296812142,14.68932705,3.596070726,0.242460116,0.470530226,0,0.204228818,0,0,0,0,0,0,0,0,0.204,0.242
In,49,3.2523,3.2523,4.9461,1.55,1.56,0.76,0.8,1.42,1.42,1.36,2.43,1.663,2.3,1.49,2.05,5.806,18.938,28.132,0.3,2.53,2.411,0.034,2.52,2.722,49,3,2,1,0,0,5,8.47,5,3,1.63,1.78,1.49,0.411,82,0.233,430,2353,2.617,114.11,7310,983.6479262,144.0784262,134.6365146,27.22061307,23.34578921,16.14045175,0.412239198,2.795833342,0.075281036,0,0.290497499,0.101782121,0,0,0,0,0,0,0,0.075,0.102
Sn,50,5.8318,5.8318,3.1819,1.45,1.45,0.65,0.69,1.39,1.4,1.3,2.42,1.623,2.3,1.41,1.88,7.369,14.685,30.607,1.11207,3.142,3.08,0.073,3.14,4.009,50,4,2,2,0,0,5.65,9.1,5,4,1.88,1.96,1.72,1.11,66.6,0.217,505,2543,2.705,118.71,7310,1026.762662,151.5240637,141.8211611,0.297169143,25.11792506,17.65728448,4.546337182,0.403998194,1.004952482,0,0.369349177,0.144450077,0,0,0,0,0,0,0,0.144,0.297
Sb,51,4.307,4.307,11.273,1.45,1.33,0.57,0.76,1.39,1.4,1.33,2.47,1.59,2.15,1.32,1.765,8.67,16.588,25.386,1.047401,2.728,1.724,0.205,2.75,4.128,51,5,2,3,0,0,6.3,9.99,5,5,2.14,2.05,1.82,0.383,24,0.207,904,1908,2.997,121.76,6697,134.8235597,15.96375273,149.214348,3.111843494,26.95626894,19.2399046,5.049643144,0.370579178,1.297342223,0,0.445605214,0.185623089,0,0,0,0,0,0,0,0.186,0.371
