Ti2CO2-TM,dGH,dM0-O0,dM1-O0,AmM-O-M,bO-O,epz,Med,Ti2ed,Mmed,EFermi,CHM,VM,VMm,BM,FEIM,FEIMm,EAM,PM,RM
Mo-S2,0.03566989,1.948,1.948,99.21833333,3.012,-3.395304963,0.0592,0.0591,0.061966667,-2.1786,10.062569,12,12,-1.937431,375.7,375.7,7.6,1.54,176
Nb-S0,0.07412593,2.035,1.992,98.389,3.075,-3.375095526,-0.4313,0.2914,0.050766667,-1.9802,10.783883,13,12.33333333,-2.216117,652.1,467.8333333,86.1,1.6,198
Nb-S1,0.03896,1.973,1.963,99.89833333,3.012,-3.187731641,0.2888,0.294,0.277233333,-1.9802,10.069065,12,12,-1.930935,375.7,375.7,7.6,1.54,176
Nb-S2,0.06695144,1.957,1.958,99.23966667,3.008,-3.330000436,0.2946,0.2949,0.293733333,-1.9802,10.063021,12,12,-1.936979,375.7,375.7,7.6,1.54,176
Ni-S0,-0.34747101,2.053,1.906,98.878,2.971,-2.838835312,-2.6451,0.6083,-0.474866667,-2.4644,9.080727,10,11.33333333,-0.919273,737.1,496.1666667,112,1.91,149
Ni-S1,-0.08830282,1.96,1.969,100.5333333,3.012,-2.899331442,0.6116,0.6112,0.624466667,-2.4644,10.037565,12,12,-1.962435,375.7,375.7,7.6,1.54,176
Ni-S2,-0.07776402,1.958,1.958,100.7706667,3.02,-2.858685388,0.6095,0.6097,0.6966,-2.4644,10.040094,12,12,-1.959906,375.7,375.7,7.6,1.54,176
Os-S0,-0.3813331,2.165,1.942,96.66366667,3.017,-3.073083358,-2.9611,0.3383,-0.762266667,-2.4595,6.881239,8,10.66666667,-1.118761,840,530.4666667,106.1,2.2,185
Os-S1,-0.27753513,1.965,1.972,100.718,3.026,-2.950153226,0.3415,0.3352,0.3805,-2.4595,10.043609,12,12,-1.956391,375.7,375.7,7.6,1.54,176
Os-S2,-0.19652168,1.942,1.942,99.722,3.025,-3.018999795,0.335,0.3334,0.390666667,-2.4595,10.053562,12,12,-1.946438,375.7,375.7,7.6,1.54,176
Pd-S0,-0.12956499,2.17,1.914,96.82433333,3.206,-2.72699891,-3.7056,0.6558,-0.7985,-2.4008,9.269119,10,11.33333333,-0.730881,804.4,518.6,53.7,2.2,169
