Ti2CO2-TM,dGH,dM0-O0,dM1-O0,dM2-O0,dmM-O,ATi1-O-Ti2,ATi1-O-M,ATi2O-M,AmM-O-M,bO-O,epz,Med,Ti1ed,Ti2ed,Mmed,EFermi,CHO,CHM,CHTi1,CHTi2,CHMm,VM,VMm,BO,BM,BTi1,BTi2,BMm,FEIM,FEITi1,FEITi2,FEIMm,EAM,EAMm,PM,PMm,RM,RMm
Ti-S1,0.10887059,1.965,1.966,1.966,1.965666667,100.013,100.02,100.015,100.016,3.012,-3.262897903,0.1445,0.1457,0.1427,0.1443,-2.1693,7.107283,10.058188,10.058162,10.058025,10.058125,12,12,1.107283,-1.941812,-1.941838,-1.941975,-1.941875,375.7,375.7,375.7,375.7,7.6,7.6,1.54,1.54,176,176
Ti-S2,0.10887144,1.965,1.966,1.966,1.965666667,100.013,100.019,100.018,100.0166667,3.012,-3.261591519,0.1433,0.1433,0.1419,0.142833333,-2.1693,7.107252,10.058025,10.058183,10.057855,10.058021,12,12,1.107252,-1.941975,-1.941817,-1.942145,-1.941979,375.7,375.7,375.7,375.7,7.6,7.6,1.54,1.54,176,176
V-S0,-0.12643408,2.053,1.934,1.934,1.973666667,99.8,97.534,97.537,98.29033333,2.931,-3.335520008,-0.692,0.0045,0.0047,-0.2276,-2.1141,7.073406,11.258086,10.051671,10.045174,10.45164367,13,12.33333333,1.073406,-1.741914,-1.948329,-1.954826,-1.881689667,650.9,375.7,375.7,467.4333333,50.6,21.93333333,1.63,1.57,171,174.3333333
V-S1,0.01727684,1.961,1.971,1.961,1.964333333,100.222,100.491,100.49,100.401,3.017,-3.293161591,0.0046,-0.0129,0.0048,-0.001166667,-2.1141,7.107496,10.043019,10.054558,10.051671,10.04974933,12,12,1.107496,-1.956981,-1.945442,-1.948329,-1.950250667,375.7,375.7,375.7,375.7,7.6,7.6,1.54,1.54,176,176
V-S2,0.05935475,1.956,1.957,1.984,1.965666667,101.798,99.078,99.079,99.985,3.014,-3.349115232,0.0063,0.1657,0.0051,0.059033333,-2.1141,7.10506,10.051671,10.046293,10.07647,10.05814467,12,12,1.10506,-1.948329,-1.953707,-1.92353,-1.941855333,375.7,375.7,375.7,375.7,7.6,7.6,1.54,1.54,176,176
W-S0,-0.02282339,2.085,1.978,1.978,2.013666667,98.536,96.394,96.399,97.10966667,2.976,-3.384396807,-2.0817,0.1968,0.1938,-0.5637,-2.16,7.07503,4.108722,10.063705,10.063627,8.078684667,6,10,1.07503,-1.891278,-1.936295,-1.936373,-1.921315333,770,375.7,375.7,507.1333333,78.6,31.26666667,2.36,1.813333333,193,181.6666667
W-S1,2.99E-05,1.972,1.963,1.972,1.969,100.793,99.91,99.907,100.2033333,3.019,-3.21844534,0.1921,0.153,0.1944,0.179833333,-2.16,7.109534,10.063362,10.04557,10.063705,10.05754567,12,12,1.109534,-1.936638,-1.95443,-1.936295,-1.942454333,375.7,375.7,375.7,375.7,7.6,7.6,1.54,1.54,176,176
W-S2,0.07327152,1.95,1.95,1.99,1.963333333,99.904,98.806,98.808,99.17266667,3.012,-3.294901316,0.189,0.243,0.1956,0.2092,-2.16,7.098372,10.063705,10.060516,10.078286,10.06750233,12,12,1.098372,-1.936295,-1.939484,-1.921714,-1.932497667,375.7,375.7,375.7,375.7,7.6,7.6,1.54,1.54,176,176
Y-S0,-0.55703464,2.133,1.947,1.947,2.009,103.17,99.219,99.217,100.5353333,3.585,-2.643533729,-1.5742,1.0713,1.0737,0.190266667,-2.6938,7.152581,9.019153,10.064098,10.065773,9.716341333,11,11.66666667,1.152581,-1.980847,-1.935902,-1.934227,-1.950325333,600,375.7,375.7,450.4666667,29.6,14.93333333,1.22,1.433333333,212,188
Y-S1,-0.42770457,1.986,1.958,1.986,1.976666667,101.332,100.152,100.147,100.5436667,3.02,-2.499642181,1.0738,1.1146,1.074,1.087466667,-2.6938,7.123107,10.066138,10.046661,10.064098,10.05896567,12,12,1.123107,-1.933862,-1.953339,-1.935902,-1.941034333,375.7,375.7,375.7,375.7,7.6,7.6,1.54,1.54,176,176
Y-S2,-0.48510709,1.96,1.96,1.938,1.952666667,98.811,101.293,101.287,100.4636667,2.993,-2.573743189,1.0718,0.953,1.0745,1.0331,-2.6938,7.090667,10.064098,10.050628,10.027775,10.04750033,12,12,1.090667,-1.935902,-1.949372,-1.972225,-1.952499667,375.7,375.7,375.7,375.7,7.6,7.6,1.54,1.54,176,176
Zn-S0,-0.98170029,2.131,1.893,1.893,1.972333333,103.173,95.314,95.315,97.934,3.239,-2.260331179,-5.3875,0.9731,0.9738,-1.146866667,-2.9992,7.066471,10.868952,10.024961,10.030122,10.30801167,12,12,1.066471,-1.131048,-1.975039,-1.969878,-1.691988333,906.4,375.7,375.7,552.6,0,5.066666667,1.65,1.576666667,142,164.6666667
Zn-S1,-0.62031463,1.954,1.973,1.954,1.960333333,99.689,101.224,101.223,100.712,3,-2.465819161,0.9714,1.1045,0.9746,1.016833333,-2.9992,7.108198,10.033579,10.060301,10.024961,10.03961367,12,12,1.108198,-1.966421,-1.939699,-1.975039,-1.960386333,375.7,375.7,375.7,375.7,7.6,7.6,1.54,1.54,176,176
Zn-S2,-0.67713902,1.969,1.969,1.944,1.960666667,102.995,101.234,101.233,101.8206667,3.005,-2.368403361,0.9671,1.0902,0.9687,1.008666667,-2.9992,7.104458,10.024961,10.024205,10.028133,10.02576633,12,12,1.104458,-1.975039,-1.975795,-1.971867,-1.974233667,375.7,375.7,375.7,375.7,7.6,7.6,1.54,1.54,176,176
Zr-S0,0.23463941,2.047,1.985,1.985,2.005666667,101.063,99.196,99.195,99.818,3.285,-3.323412536,-0.5218,0.2959,0.3019,0.025333333,-2.0968,7.154939,9.743568,10.059382,10.06005,9.954333333,12,12,1.154939,-2.256432,-1.940618,-1.93995,-2.045666667,640.1,375.7,375.7,463.8333333,41.1,18.76666667,1.33,1.47,206,186
Zr-S1,0.10697383,1.98,1.956,1.98,1.972,101.044,99.715,99.712,100.157,3.013,-3.194299486,0.2988,0.2496,0.3018,0.2834,-2.0968,7.113011,10.064993,10.052588,10.059382,10.05898767,12,12,1.113011,-1.935007,-1.947412,-1.940618,-1.941012333,375.7,375.7,375.7,375.7,7.6,7.6,1.54,1.54,176,176
Zr-S2,0.09660171,1.96,1.96,1.957,1.959,98.1,100.576,100.574,99.75,3.004,-3.25030499,0.2988,0.1817,0.2973,0.259266667,-2.0968,7.100821,10.059382,10.058275,10.053397,10.057018,12,12,1.100821,-1.940618,-1.941725,-1.946603,-1.942982,375.7,375.7,375.7,375.7,7.6,7.6,1.54,1.54,176,176
