Ti2CO2-TM,dGH,dM0-O0,dM1-O0,dM2-O0,dmM-O,ATi1-O-Ti2,ATi1-O-M,ATi2O-M,AmM-O-M,bO-O,epz,Med,Ti1ed,Ti2ed,Mmed,EFermi,CHO,CHM,CHTi1,CHTi2,CHMm,VM,VMm,BO,BM,BTi1,BTi2,BMm,FEIM,FEITi1,FEITi2,FEIMm,EAM,EAMm,PM,PMm,RM,RMm
Cu-S1,-0.39191251,1.955,1.977,1.955,1.962333333,99.719,101.2,101.201,100.7066667,3.006,-2.628552218,0.7767,0.8662,0.7831,0.808666667,-2.7729,7.109944,10.031645,10.059773,10.023813,10.03841033,12,12,1.109944,-1.968355,-1.940227,-1.976187,-1.961589667,375.7,375.7,375.7,375.7,7.6,7.6,1.54,1.54,176,176
Cu-S2,-0.50522517,1.964,1.964,1.959,1.962333333,103.529,100.639,100.638,101.602,3.009,-2.589335448,0.7788,0.8504,0.7834,0.8042,-2.7729,7.10655,10.023813,10.02316,10.05759,10.03485433,12,12,1.10655,-1.976187,-1.97684,-1.94241,-1.965145667,375.7,375.7,375.7,375.7,7.6,7.6,1.54,1.54,176,176
Fe-S0,-0.3749933,2.075,1.911,1.911,1.965666667,100.641,97.363,97.363,98.45566667,2.924,-2.779785824,-1.5913,0.4105,0.4044,-0.2588,-2.4164,7.028755,6.8945,10.037916,10.039921,8.990779,8,10.66666667,1.028755,-1.1055,-1.962084,-1.960079,-1.675887667,762.5,375.7,375.7,504.6333333,15.7,10.3,1.83,1.636666667,156,169.3333333
Fe-S1,-0.18110057,1.959,1.971,1.959,1.963,100.016,100.887,100.888,100.597,3.016,-3.072916446,0.4071,0.4613,0.4032,0.423866667,-2.4164,7.108867,10.04021,10.053391,10.037916,10.043839,12,12,1.108867,-1.95979,-1.946609,-1.962084,-1.956161,375.7,375.7,375.7,375.7,7.6,7.6,1.54,1.54,176,176
Fe-S2,-0.13006822,1.954,1.954,1.992,1.966666667,103.024,99.049,99.049,100.374,3.022,-3.044352059,0.4112,0.5923,0.3992,0.467566667,-2.4164,7.106057,10.037916,10.034203,10.077058,10.04972567,12,12,1.106057,-1.962084,-1.965797,-1.922942,-1.950274333,375.7,375.7,375.7,375.7,7.6,7.6,1.54,1.54,176,176
Hf-S0,0.24053049,2.032,1.987,1.987,2.002,100.695,99.225,99.224,99.71466667,3.23,-3.390525572,-2.6582,0.5332,0.5335,-0.5305,-2.1884,7.152398,7.771193,10.056037,10.058861,9.295363667,10,11.33333333,1.152398,-2.228807,-1.943963,-1.941139,-2.037969667,658.5,375.7,375.7,469.9666667,0,5.066666667,1.3,1.46,208,186.6666667
Hf-S1,0.10605112,1.978,1.957,1.978,1.971,100.927,99.736,99.739,100.134,3.012,-3.003558165,0.5338,0.5086,0.5331,0.525166667,-2.1884,7.112306,10.063108,10.053087,10.056037,10.05741067,12,12,1.112306,-1.936892,-1.946913,-1.943963,-1.942589333,375.7,375.7,375.7,375.7,7.6,7.6,1.54,1.54,176,176
Hf-S2,0.10175489,1.96,1.96,1.96,1.96,98.359,100.479,100.481,99.773,3.007,-2.996011803,0.5335,0.5917,0.5323,0.5525,-2.1884,7.100993,10.056037,10.058001,10.054352,10.05613,12,12,1.100993,-1.943963,-1.941999,-1.945648,-1.94387,375.7,375.7,375.7,375.7,7.6,7.6,1.54,1.54,176,176
Ir-S0,-0.56875761,2.165,1.936,1.936,2.012333333,100.835,94.751,94.753,96.77966667,3.067,-2.736823643,-2.909,0.8857,0.8855,-0.379266667,-2.6676,7.013856,8.154242,10.039903,10.041338,9.411827667,9,11,1.013856,-0.845758,-1.960097,-1.958662,-1.588172333,880,375.7,375.7,543.8,151,55.4,2.2,1.76,180,177.3333333
Ir-S1,-0.4563445,1.962,1.975,1.962,1.966333333,100.693,100.397,100.4,100.4966667,3.017,-2.643611912,0.8886,0.8244,0.8855,0.866166667,-2.6676,7.110746,10.035893,10.069674,10.039903,10.04849,12,12,1.110746,-1.964107,-1.930326,-1.960097,-1.95151,375.7,375.7,375.7,375.7,7.6,7.6,1.54,1.54,176,176
